categories;phrase;translation
Fraze;Evo me odmah!;Już się robi!
Glagoli;odlučiti;decydować
Glagoli;uzeti;brać, wziąć, przyjąć
Hrana;odrezak;kotlet
Konektori Prilozi Vrijeme;onda;wtedy, następnie, zatem, wówczas
Glagoli;pokupiti;zabierać
Hrana Imenice Stvari;tanjur;talerz
Fraze;Možete nam naplatiti.;Proszę nas podliczyć.
Imenice Stvari;kusur;reszta
Posao;osoblje;obsługa
Imenice Svakidašnji;preporuka;zalecenie, rekomendacja
Glagoli;preporučiti;polecać
Glagoli;pronaći;znaleźć
Svakidašnji;može;tak jest
Prilozi;možda;może (przypuszczenie)
Fraze;Sad sam se sjetio;<div>Teraz sobie przypomniałem</div>
Hobi;japanska slagalica;japońska układanka
Glagoli;zauzeti;zająć, zajmować
Fraze;Nisam znao.;Nie wiedziałem.
Osobine Pridjevi;odrastao;dorosły
Škola;sveučilište;uniwersytet
Glagoli Svakidašnji;prihvatiti;akceptować, przyjmować
Hobi Imenice Posao;reportaža;reportaż
Imenice;titlovi;napisy
Hobi Imenice;serija;serial
Imenice;nasilje;przemoc
Prilozi Trgovina;jeftino;tanio
Prilozi;skupo;drogo
Imenice Stvari;kruna;korona
Imenice Mjesta;inozemstvo;zagranica
Glagoli;provjeravati;sprawdzać
Pridjevi;ozbiljan;poważny
Pridjevi;neozbiljan;niepoważny
Pridjevi;povoljan;przystępny, dobry cenowo
Glagoli Kuća Posao;iznajmiti;wynająć
Imenice Odjeće;majica;bluzka
Fraze Imenice;povijesne knjige;powieści
Brojevi Fraze;od tisuću devetstote godine do dvijetisućite;od 1900 do 2000 roku
Biljke Imenice Priroda;biljka;roślina
Imenice Pokret Sport;klizanje;jazda na łyżwach
Hobi;streljana;strzelnica
Fraze Škola;pasti ispit;oblać egzamin
Stvari Svakidašnji Škola;položiti ispit;zdać egzamin
Prilozi;savršeno;doskonale
Fraze Stvari;mnogo mogućnosti;dużo możliwości
Posao;mnogo područja;dużo obszarów
Fraze;Kako ti to ide?;Jak ci to idzie?
Fraze Vrijeme;sljedeći / idući tjedan;przyszły tydzień
Fraze;Nećemo stići;Nie uda się nam
Fraze;Reći ću ti;Powiem tobie
Fraze;Ispeći ćemo kruh;Upieczemy chleb
Hrana Imenice Stvari;lonac;garnek
Fraze Obitelj Odmor;obiteljski izlazak;rodzinne wyjście
Kuća Prostor;sav stan;całe mieszkanie
Odmor Pokret Sport;ploviti brodom;pływać statkiem
Glagoli Odmor Pokret Sport;jedriti;żeglować
Odmor;sunčati;opalać się
Fraze Posao Stvari;mijenjati gume;zmieniać opony
Konektori Čestice;ipak;jednak, nadal, chociaż
Fraze Obitelj;ići u posjet baki;pójść odwiedzić babcię
Fraze;Poslat ću ti;Wyślę tobie
Imenice Mjesta Sport;teretana;siłownia
Imenice Sport Stvari;utezi;ciężary
Glagoli Sport;trčati;biegać
Konektori Prilozi Vrijeme;nakon;po, potem, później
Glagoli Pokret;odlaziti;wyjeżdżać
Imenice Stvari;novine;gazeta
Glagoli;pričati;rozmawiać, opowiadać, gadać
Imenice Stvari;pismo;list
Glagoli;saznati;dowiadywać się
Imenice Raspoloženje;uspjeh;powodzenie, sukces
Glagoli Odjeće;odjenuti;ubrać się
Fraze;za koga?;dla kogo?
Higijena;brijati se;golić się
Imenice Pokret;dolazak;przyjazd
Prilozi;zajedno;razem
Imenice Stvari;gužva;tłum
Kuća;spavaća soba;sypialnia
Kuća;u spavaćoj sobi;w sypialni
Kuća;dnevna soba / dnevni boravak;pokój dzienny / salon
Kuća;<div>u dnevnoj sobi / u dnevnom</div><div>boravku</div>;w pokoju dziennym
Kuća;radna soba;gabinet
Kuća;dječja soba;pokój dziecięcy
Kuća;ostava / smočnica / špajza;spiżarnia
Kuća;sudoper;zlewozmywak
Imenice Kuća;napa;okap
Kuća;kuhalo za vodu;czajnik
Kuća;zmrzivač;zamrażarka
Kuća;perilica posuđa;zmywarka
Kuća;perilica rublja;pralka
Kuća;kada;wanna
Kuća;tuš;prysznic
Higijena Imenice Kuća;slavina;kran
Higijena Kuća;bide;bidet
Kuća Prostor;pored kreveta;obok łóżka
Kuća;noćni ormarić;szafka nocna
Imenice Kuća;poplun;kołdra
Kuća;plahta;prześcieradło
Kuća;posteljina;pościel
Kuća;jastučnica;powłoczka na poduszkę
Kuća;deka;koc
Kuća;naslonjač;fotel
Kuća;sobna biljka;roślina pokojowa
Kuća;ručnik;ręcznik
Kuća;umivaonik;umywalka
Higijena Imenice Kuća;WC školjka;muszla klozetowa
Kuća;posuđe;naczynia
Hrana Imenice Kuća;štednjak;kuchenka
Hrana Imenice Kuća;mikrovalna;mikrofalówka (kuchenka mikrofalowa)
Hrana Imenice Kuća;hladjnak;lodówka
Imenice Kuća;prekrivač;narzuta
Kuća Imenice;zid;ściana
Kuća;zidovi;ściany
Imenice Stvari;predmet;przedmiot
Glagoli;dobiti;dostać
Glagoli Tijelo;dodirivati;dotykać
Imenice Stvari;dio;część
Glagoli;uklopiti;pasować
Kuća;kauč;sofa / kanapa
Brojevi Prilozi;više;więcej
Prilozi;još;jeszcze
Imenice Vrijeme;već;już
Imenice Kuća;kat;piętro
Stvari Svakidašnji;svrha;cel, przeznaczenie
Imenice Životinje;magarac;osioł
Pridjevi Raspoloženje;ravnodušan;obojętny
Imenice Kuća;prozor;okno
Hobi Svakidašnji;igrati plejku;grać na konsoli
Hobi Svakidašnji;šetati psa;wyprowadzać psa
Hrana;peći kolač;piec ciasto
Glagoli Pokret;doći;przyjść (nieregularny: ja dođem, ti dođeš, on/ona/ono dođe, mi dođemo, vi dođete, oni/one/ona dođu)
Glagoli;nazvati;wzywać, dzwonić
Kuća;zavijesa;zasłona
Kuća;jastuk;poduszka
Kuća;pod;podłoga
Kuća;tepih;dywan
Imenice Kuća;šalica;kubek, filiżanka
Prilozi Prostor;iza;za
Kuća;strop;sufit
Imenice Prostor;sredina;środek
Kuća;vrata;drzwi
Kuća;vaza;wazon
Prostor;desno;na prawo
Prostor Čestice;pored;obok
Fraze Konektori;kao odgovor;jako odpowiedź
Vrijeme;svako jutro;każdego ranka
Glagoli Odmor Pokret;roniti;nurkować
Prilozi Raspoloženje;dosadno;nudno
Glagoli Svakidašnji;sjesti;usiąść
Glagoli;sjediti;siedzieć
Prilozi Vrijeme Čestice;ponekad;czasami
Glagoli Hrana Svakidašnji;pojesti;zjeść
Fraze Tijelo;u drugom stanju;w stanie błogosławionym
Prostor;s lijeve strane;z lewej strony
Prostor;nalijevo;na lewo
Kuća;u kutu;w kącie
Prostor Svakidašnji Vrijeme;na kraju;na końcu
Biljke Imenice Priroda;cvijeće;kwiaty (bukiet, kompozycja)
Kuća Prostor;na prozoru;na/w oknie
Imenice Odjeće;cipela;but
Gramatyka;zaimki osobowe - akuzativ;mene, me<div>tebe, te</div><div>njega, ga</div><div>nju, je/ju</div><div>njega, ga</div><div><br></div><div>nas</div><div>vas/Vas</div><div>njih, ih</div>
Gramatyka;zaimki osobowe - lokativ;meni<div>tebi</div><div>njemu</div><div>njoj</div><div>njemu</div><div><br></div><div>nama</div><div>vama/Vama</div><div>njima</div>
Osobine Pridjevi;mršav;chudy
Osobine Pridjevi;marljiv;staranny / pracowity
Pridjevi Raspoloženje;veseo;wesoły
Glagoli Vrijeme;kasniti;spóźniać się
Glagoli Posao;izgraditi;budować
Imenice Posao;sastanak;spotkanie
Imenice Obitelj Raspoloženje;spoj;randka
Pridjevi;prazan;pusty
Prilozi;jako;bardzo
Prilozi;dosta;dość, wystarczajaco
Glagoli;poslati;wysłać, przesłać
Prilozi Prostor;pokraj;obok
Imenice Priroda;slap;wodospad
Prilozi Vrijeme;jučer;wczoraj
Prilozi Vrijeme;prekjučer;przedwczoraj
Vrijeme;nakjučer;dwa dni temu
Prilozi Vrijeme;sinoć;ostatniej nocy
Vrijeme Čestice;nikad;nigdy (słowo nieprzymiotnikowe, ale często używane)
Prilozi Vrijeme;ikad;kiedyś, kiedykolwiek
Vrijeme;prošli vikend;miniony weekend
Fraze Vrijeme;prošlu srijedu / prošli utorak;poprzedniej środy / poprzedni wtorek
Vrijeme;prije tri mjeseca;trzy miesiące temu
Fraze Vrijeme;prije tjedan dana;tydzień temu
Vrijeme;prije mjesec dana;miesiąc temu
Fraze Vrijeme;prije godinu dana;rok temu
Vrijeme;prošli mjesec;poprzedni miesiąc
Fraze Vrijeme;prošle godine;poprzednie lata
Fraze Vrijeme;prije dvije godine;dwa lata temu
Vrijeme;prošli tjedan;poprzedni tydzień
Fraze;Idem na posao;Idę do pracy
Fraze;Bio sam na poslu;Byłem w pracy
Imenice Posao;dežurstvo;dyżur
Fraze;Pržio sam kajganu;Smażyłem jajecznicę
Kuća;svaštara;pomieszczenie / szafa / szuflada na cały szmelc
Kuća Prostor;na polici;na półce
Kuća Prostor;na zidu;na ścianie
Kuća;u ormaru;w szafie
Glagoli Pokret;prebacivati;przerzucać
Posao;skladatelj;kompozytor
Pridjevi;jak;silny
Fraze Raspoloženje;miris je baš jak;zapach jest bardzo mocny
Fraze Pokret Raspoloženje;Ne da im se trčati / Ne trči im se;nie chce im się biegać
Imenice Stvari;čestitka;kartka z życzeniami
Kuća Prostor;ispod stola;pod stołem
Imenice Pokret Stvari;jahta;jacht
Fraze Prostor Stvari;na slici;na obrazku, zdjęciu
Fraze;<div>na prvoj, drugoj, trećoj, četvrtoj slici</div>;na pierwszym, drugim, trzecim, czwartym obrazie
Glagoli Hobi Odmor;plesati;tańczyć
Imenice Stvari;blago;skarb
Imenice Stvari;škrinja;skrzynia
Imenice Obitelj Odmor;gost;gość
Imenice Životinje;medvjed;niedźwiedź
Životinje;majmune;małpy
Imenice Životinje;kornjača;żółw
Imenice Životinje;leptir;motyl
Imenice Životinje;lav;lew
Imenice Životinje;tigar;tygrys
Imenice Životinje;slon;słoń
Imenice Životinje;žirafa;żyrafa
Fraze;On će učiti djecu kako plivati;On będzie uczyć dzieci jak pływać
Hobi Odmor;naočale za plivanje;okulary do pływania
Fraze Sport Stvari;spužva za plivanje;makaron piankowy
Hobi Odmor;kapa za plivanje;czepek
Hobi Odmor;narukvice za plivanje;rękawki do pływania
Hobi Odmor;lopatice za plivanje;płetwy ręczne
Fraze Sport Stvari;peraje za plivanje;płetwy
Fraze Odjeće Sport;natikače za bazen;klapki na basen
Hobi;daska za plivanje;deska do pływania
Higijena Tijelo;oprati kosu;umyć włosy
Svakidašnji Tijelo;češljati kosu;czesać włosy
Svakidašnji Tijelo;skraćivati kosu;obcinać włosy
Pridjevi;pospan;śpiący
Imenice Stvari;izvještaj;raport
Imenice Stvari;objava;ogłoszenie
Imenice Stvari;sitnice;drobnostki
Konektori;isto kao;taki jak
Pridjevi;isti;taki sam
Prilozi;tiše;ciszej
Biljke Imenice Kuća;jelka;choinka
Obitelj;skupa;razem
Imenice Priroda;pahulje;płatki
Glagoli Svakidašnji;stići;dotrzeć, przybyć
Mjesta Posao Prostor;na poslu;w pracy
Fraze;Ništa nisam radio.;Nic nie robiłem.
Fraze;biti u pitanju / radi se o ...;mowa o czymś
Fraze;Vidio sam na televiziji.;Widziałem w telewizji.
Imenice Posao;mašinovođa;maszynista
Hobi;skupljati marke;zbierać znaczki
Biljke Stvari;brati smokve;zbierać figi
Higijena Prilozi;odvratno;ohydnie
Imenice;tko;kto
Imenice;nitko;nikt
Imenice Raspoloženje;muka;zmartwienie
Svakidašnji;san;sen
Glagoli;krasti;kraść
Glagoli;pasti;spaść
Biljke Imenice;grana;gałąź
